office_id,corresponding_id,alias,real_name,alias_type,start,end,extra
28,,Lord Advocate,Robert Dundas,office,1789,1801,
28,762,Lord Advocate,Charles Hope,office,1801,1804,
28,999,Lord Advocate,James Montgomery,office,1804,1806,
28,1301,Lord Advocate,Henry Erskine,office,1806,1807,also Harry
28,,Lord Advocate,Archibald Campbell Colquhoun,office,1807,1816,
28,1969,Lord Advocate,Alexander Maconochie,office,1816,1819,
28,2169,Lord Advocate,William Rae,office,1819,1830,
28,2718,Lord Advocate,Francis Jeffrey,office,1830/12,1834/05,
28,3056,Lord Advocate,John Archibald Murray,office,1834/05,1834/11,
28,2169,Lord Advocate,William Rae,office,1834/12,1835/04,
28,3056,Lord Advocate,John Archibald Murray,office,1835/04,1839/04,
28,3597,Lord Advocate,Andrew Rutherfurd,office,1839/04,1841/09,"https://en.wikipedia.org/wiki/Andrew_Rutherfurd,_Lord_Rutherfurd"
28,2169,Lord Advocate,William Rae,office,1841/09,1842/10,
28,3814,Lord Advocate,Duncan McNeill,office,1842/10,1846/07,
28,3597,Lord Advocate,Andrew Rutherfurd,office,1846/07,1851/04,"https://en.wikipedia.org/wiki/Andrew_Rutherfurd,_Lord_Rutherfurd"
28,4120,Lord Advocate,James Moncreiff,office,1851/04,1852/02,
28,,Lord Advocate,Adam Anderson,office,1852/02,1852/05,"https://en.wikipedia.org/wiki/Adam_Anderson,_Lord_Anderson"
28,4585,Lord Advocate,John Inglis,office,1852/05,1852/12,
28,4120,Lord Advocate,James Moncreiff,office,1852/12,1858/03,
28,4585,Lord Advocate,John Inglis,office,1858/03,1858/07,
28,4597,Lord Advocate,Charles Baillie,office,1858/07,1859/04,
28,4611,Lord Advocate,David Mure,office,1859/04,1859/07,
28,4120,Lord Advocate,James Moncreiff,office,1859/06,1866/07,
28,4990,Lord Advocate,George Patton,office,1866/07,1867/02,
28,5027,Lord Advocate,Edward Strathearn Gordon,office,1867/02,1868/12,
28,4120,Lord Advocate,James Moncreiff,office,1868/12,1869/10,
28,4957,Lord Advocate,George Young,office,1869/10,1874/02,
28,5027,Lord Advocate,Edward Strathearn Gordon,office,1874,1876,
28,5574,Lord Advocate,William Watson,office,1876/07,1880/04,
28,5845,Lord Advocate,John McLaren,office,1880/05,1881/08,
28,5844,Lord Advocate,John Blair Balfour,office,1881/08,1885/07,
28,6013,Lord Advocate,John Hay Athole Macdonald,office,1885/07,1886/02,
28,5844,Lord Advocate,John Blair Balfour,office,1886/02,1886/08,
28,6013,Lord Advocate,John Hay Athole Macdonald,office,1886/08,1888/10,
28,5959,Lord Advocate,James Patrick Bannerman Robertson,office,1888/10,1891/08,
28,6414,Lord Advocate,Charles John Pearson,office,1891/10,1892/08,
28,5844,Lord Advocate,John Blair Balfour,office,1892/08,1895/07,
28,6414,Lord Advocate,Charles John Pearson,office,1895/07,1896/05,
28,6432,Lord Advocate,Andrew Graham Murray,office,1896/05,1903/10,
28,7953,Lord Advocate,Charles Scott Dickson,office,1903/10,1905/12,
28,7261,Lord Advocate,Thomas Shaw,office,1905/12,1909/02,
28,7325,Lord Advocate,Alexander Ure,office,1909/02,1913/10,
